"RACE_ID","RACE_DATE","RACE_COURSE","COURSE","WEATHER","TRACK","DISTANCE","PRIZE1","HORSE_NAME","FRAME","NUM","GENDER","AGE","CNT","RANK_1","RANK_2","RANK_3","RANK_4","RANK_5","RACE_COURSE_CNT","RACE_COURSE_RANK_1","RACE_COURSE_RANK_2","RACE_COURSE_RANK_3","RACE_COURSE_RANK_4","RACE_COURSE_RANK_5","COURSE_CNT","COURSE_RANK_1","COURSE_RANK_2","COURSE_RANK_3","COURSE_RANK_4","COURSE_RANK_5","DISTANCE_CNT","DISTANCE_RANK_1","DISTANCE_RANK_2","DISTANCE_RANK_3","DISTANCE_RANK_4","DISTANCE_RANK_5","STD_DEV","RACE_TIME","AVG_RACE_TIME","RANK","POPULARITY","ODDS"
"1703030102",2017/11/03,"17","1",1,1,1200,500,"ハッピーリフレイン",4,7,2,"2",3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,43.7687656712389,71.4,70.4959404600812,13,14,272.5
"1703030102",2017/11/03,"17","1",1,1,1200,500,"パレハ",2,3,2,"2",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,43.0795152343351,71.5,70.4959404600812,15,11,213
"1703030102",2017/11/03,"17","1",1,1,1200,500,"ビッグジュジュ",3,5,2,"2",2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,41.7010143605274,71.7,70.4959404600812,16,16,382.5
"1703030102",2017/11/03,"17","1",1,1,1200,500,"ファストライフ",6,12,2,"2",3,0,2,0,1,0,0,0,0,0,0,0,3,0,2,0,1,0,3,0,2,0,1,0,49.2827691664695,70.6,70.4959404600812,5,3,6.3
"1703030102",2017/11/03,"17","1",1,1,1200,500,"フォレストガーデン",6,11,2,"2",5,0,1,1,1,2,1,0,0,0,0,1,5,0,1,1,1,2,4,0,1,0,1,2,45.8365169819504,71.1,70.4959404600812,7,5,11
"1703030102",2017/11/03,"17","1",1,1,1200,500,"モーニングヒカル",7,13,2,"2",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,45.1472665450465,71.2,70.4959404600812,11,7,22.5
"1703030102",2017/11/03,"17","1",1,1,1200,500,"ヤエノメイク",1,2,2,"2",3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,45.1472665450465,71.2,70.4959404600812,10,12,221.2
"1703030102",2017/11/03,"17","1",1,1,1200,500,"ヤマニンルネッタ",8,15,2,"2",4,0,1,3,0,0,0,0,0,0,0,0,4,0,1,3,0,0,4,0,1,3,0,0,49.9720196033733,70.5,70.4959404600812,3,4,6.9
"1703030102",2017/11/03,"17","1",1,1,1200,500,"レディオブザレイク",1,1,2,"2",3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,43.7687656712389,71.4,70.4959404600812,14,13,224.6
"1703030103",2017/11/03,"17","2",1,2,1700,750,"アイルーロス",4,5,2,"4",21,2,1,2,1,1,2,0,1,0,0,0,21,2,1,2,1,1,20,2,1,2,1,1,52.2874929005984,108.6,109.039348370927,11,9,41.1
"1703030103",2017/11/03,"17","2",1,2,1700,750,"アルーフクライ",6,8,1,"3",11,1,4,2,1,1,1,0,1,0,0,0,6,1,2,1,0,1,10,1,3,2,1,1,60.6179861564001,107,109.039348370927,2,1,2.1
"1703030103",2017/11/03,"17","2",1,2,1700,750,"エルメネジルド",8,13,1,"5",12,2,0,0,1,1,0,0,0,0,0,0,12,2,0,0,1,1,11,2,0,0,1,1,58.0147070139621,107.5,109.039348370927,5,8,39.3
"1703030103",2017/11/03,"17","2",1,2,1700,750,"ステラルーチェ",8,12,1,"5",21,0,1,1,4,0,1,0,0,0,0,0,21,0,1,1,4,0,2,0,0,0,0,0,56.4527395284993,107.8,109.039348370927,10,11,50.7
"1703030103",2017/11/03,"17","2",1,2,1700,750,"データヴァリュー",3,3,1,"3",5,1,1,1,0,1,0,0,0,0,0,0,5,1,1,1,0,1,3,0,0,1,0,1,58.0147070139621,107.5,109.039348370927,6,3,5.7
"1703030103",2017/11/03,"17","2",1,2,1700,750,"トーホウリーガル",5,6,1,"4",10,0,0,2,3,2,0,0,0,0,0,0,9,0,0,2,3,2,9,0,0,2,3,2,62.1799536418629,106.7,109.039348370927,1,5,11.9
"1703030103",2017/11/03,"17","2",1,2,1700,750,"ヒカリダイヤグラム",5,7,2,"3",7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,43.9569996447967,110.2,109.039348370927,13,13,299.6
"1703030103",2017/11/03,"17","2",1,2,1700,750,"ビッグランチ",1,1,1,"4",18,0,0,0,0,3,2,0,0,0,0,1,7,0,0,0,0,1,15,0,0,0,0,3,56.9733953569869,107.7,109.039348370927,9,12,95.9
"1703030103",2017/11/03,"17","2",1,2,1700,750,"プエルタデルソル",4,4,1,"3",8,1,0,0,1,1,0,0,0,0,0,0,5,1,0,0,0,1,8,1,0,0,1,1,59.0560186709373,107.3,109.039348370927,4,10,45.4
"1703030103",2017/11/03,"17","2",1,2,1700,750,"ペイシャボム",2,2,1,"3",6,1,1,0,0,2,0,0,0,0,0,0,6,1,1,0,0,2,5,1,1,0,0,1,58.0147070139621,107.5,109.039348370927,7,2,5.3
"1703030103",2017/11/03,"17","2",1,2,1700,750,"マイネルネッツ",6,9,1,"5",26,1,3,3,3,2,4,0,0,1,0,1,24,1,3,3,3,2,26,1,3,3,3,2,57.4940511854745,107.6,109.039348370927,8,4,7.5
"1703030103",2017/11/03,"17","2",1,2,1700,750,"ライトブリンガー",7,10,1,"4",21,1,3,2,1,1,0,0,0,0,0,0,17,1,3,2,1,1,16,1,3,2,1,0,59.5766744994249,107.2,109.039348370927,3,6,17.3
"1703030103",2017/11/03,"17","2",1,2,1700,750,"ロケットバイオ",7,11,1,"4",3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,50.7255254151356,108.9,109.039348370927,12,7,28.3
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"アイティテイオー",5,8,1,"9",45,3,4,4,4,4,15,3,3,3,0,1,25,3,3,4,3,1,4,2,0,0,0,0,57.5172739958205,223.3,224.675,5,7,13.1
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"アドマイヤフォルム",4,6,1,"4",16,1,1,1,0,0,2,1,0,0,0,0,8,1,1,1,0,0,3,0,0,1,0,0,64.0778040285365,222.1,224.675,1,12,38.8
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"カタヨクノテンシ",3,4,1,"4",8,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,40.5692380779707,226.4,224.675,11,9,17.5
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"クラシックマーク",4,5,2,"6",44,2,1,3,2,4,6,1,0,2,0,0,7,1,0,2,0,0,0,0,0,0,0,0,61.3442498482381,222.6,224.675,2,3,7.2
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"クリスタルキャノン",1,1,2,"4",16,2,0,1,2,1,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,48.7699006188657,224.9,224.675,6,2,7.1
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"クリノダイコクテン",2,2,1,"6",45,3,5,4,1,4,3,0,1,0,0,1,18,2,3,1,1,3,9,1,1,1,0,2,42.2093705861497,226.1,224.675,10,6,12.2
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"クロスボウ",5,7,1,"7",36,5,2,1,3,2,2,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,58.0639848318801,223.2,224.675,3,1,2.8
