"RACE_ID","RACE_DATE","RACE_COURSE","COURSE","WEATHER","TRACK","DISTANCE","PRIZE1","HORSE_NAME","FRAME","NUM","GENDER","AGE","CNT","RANK_1","RANK_2","RANK_3","RANK_4","RANK_5","AVG_STD_DEV","RACE_COURSE_CNT","RACE_COURSE_RANK_1","RACE_COURSE_RANK_2","RACE_COURSE_RANK_3","RACE_COURSE_RANK_4","RACE_COURSE_RANK_5","RACE_COURSE_AVG_STD_DEV","COURSE_CNT","COURSE_RANK_1","COURSE_RANK_2","COURSE_RANK_3","COURSE_RANK_4","COURSE_RANK_5","COURSE_AVG_STD_DEV","DISTANCE_CNT","DISTANCE_RANK_1","DISTANCE_RANK_2","DISTANCE_RANK_3","DISTANCE_RANK_4","DISTANCE_RANK_5","DISTANCE_AVG_STD_DEV","STD_DEV","RACE_TIME","AVG_RACE_TIME","RANK","POPULARITY","ODDS"
"1708050105",2017/11/03,"17","1",1,1,1400,700,"ヴィズアルメンテ",1,1,2,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6660107288518,85.4,83.5121896162528,12,11,106.2
"1708050111",2017/11/03,"17","1",1,1,1400,2900,"ペイシャルアス",1,1,2,"2",5,2,1,0,0,1,52.5620887316108,0,0,0,0,0,0,0,5,2,1,0,0,1,52.5620887316108,5,2,1,0,0,1,52.5620887316108,51.2739387677722,83.3,83.5121896162528,6,2,6
"1708050107",2017/11/03,"17","1",1,1,1600,700,"テイエムギフテッド",1,1,1,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.6365423007611,96.7,96.624237804878,9,12,195.7
"1703030110",2017/11/03,"17","1",1,1,1800,1050,"ムーンザムーン",1,1,2,"3",11,1,2,3,2,0,50.3250378307551,0,0,0,0,0,0,0,11,1,2,3,2,0,50.3250378307551,9,1,2,3,0,0,50.611577239115,56.8097731560647,108.5,109.972506738544,12,4,6.3
"1708050109",2017/11/03,"17","1",1,1,1800,1500,"ユウチェンジ",1,1,1,"4",18,1,3,2,2,3,53.8617155598138,4,0,0,1,0,2,58.3129214968171,18,1,3,2,2,3,53.8617155598138,17,1,3,2,2,3,53.9555335305659,59.1206356308436,108.2,110.281837160752,9,5,18.7
"1708050104",2017/11/03,"17","1",1,1,2000,500,"ガールズバンド",1,1,2,"2",2,0,0,2,0,0,53.431938043159,1,0,0,1,0,0,55.4354705460857,2,0,0,2,0,0,53.431938043159,2,0,0,2,0,0,53.431938043159,51.8950963852347,122.8,123.38880952381,1,1,1.8
"1703030109",2017/11/03,"17","1",1,1,2600,1050,"ナンヨーテンプル",1,1,1,"5",24,1,1,2,0,1,50.6087958759875,8,0,1,1,0,1,51.91282629336,22,1,1,2,0,1,50.2449308870328,17,0,1,2,0,1,49.9412829936115,61.1206472929272,159.4,162.155462184874,4,8,42.3
"1703030105",2017/11/03,"17","3",1,1,2750,780,"シゲルクロカジキ",1,1,1,"4",15,0,0,1,2,1,45.5907781479221,0,0,0,0,0,0,0,7,0,0,1,2,1,52.4180945875446,3,0,0,0,0,1,48.7562701679641,54.1171530692842,182.3,183.77676056338,4,5,11.3
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"クリスタルキャノン",1,1,2,"4",16,2,0,1,2,1,48.7889773057566,1,0,0,0,0,0,42.3950321593339,3,1,0,1,0,0,47.2215043693786,0,0,0,0,0,0,0,48.7699006188657,224.9,224.675,6,2,7.1
"1703030112",2017/11/03,"17","2",1,2,1150,750,"クライシス",2,2,1,"4",15,1,4,2,1,1,56.0308456912396,0,0,0,0,0,0,0,10,0,3,1,1,1,57.000458831861,0,0,0,0,0,0,0,64.4477403751328,68.9,70.941784989858,3,1,2.5
"1703030108",2017/11/03,"17","2",1,2,1150,750,"モズワッショイ",2,2,2,"4",18,1,5,5,0,3,53.9535883561252,3,0,1,1,0,0,54.7580890187652,18,1,5,5,0,3,53.9535883561252,15,1,4,4,0,3,55.5511211158169,69.4009643006825,68.2,70.941784989858,1,3,5.5
"1708050101",2017/11/03,"17","2",1,1,1200,500,"イリオン",2,2,1,"2",2,0,0,0,0,0,40.1723145992214,1,0,0,0,0,0,43.9801309603789,1,0,0,0,0,0,43.9801309603789,2,0,0,0,0,0,40.1723145992214,44.5747725166899,74.4,73.4197752808989,6,11,90.7
"1708050106",2017/11/03,"17","2",1,1,1400,700,"ナムラガッツ",2,2,1,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9188522185656,89.9,86.3938536585366,7,11,98.3
